Day,Type,Range,Value
15,Trade,21-30,0.04670558798999166
15,Trade,31-40,0.026688907422852376
15,Trade,41-50,0.01834862385321101
15,Trade,51-60,0.006672226855713094
15,Trade,61-70,0.004170141784820684
15,Trade,71-80,0.0008340283569641367
15,Trade,81-90,0.0025020850708924102
15,Trade,91-100,0.0025020850708924102
15,Trade,>100,0.0008340283569641367
16,Trade,0,0.08115183246073299
16,Trade,1-10,0.675392670157068
16,Trade,11-20,0.14048865619546247
16,Trade,21-30,0.041884816753926704
16,Trade,31-40,0.030541012216404886
16,Trade,41-50,0.013089005235602094
16,Trade,51-60,0.004363001745200698
16,Trade,61-70,0.005235602094240838
16,Trade,71-80,0.0017452006980802793
16,Trade,81-90,0.002617801047120419
16,Trade,91-100,0.0008726003490401396
16,Trade,>100,0.002617801047120419
17,Trade,0,0.07962328767123288
17,Trade,1-10,0.6815068493150684
17,Trade,11-20,0.1344178082191781
17,Trade,21-30,0.04965753424657534
17,Trade,31-40,0.02054794520547945
17,Trade,41-50,0.017123287671232876
17,Trade,51-60,0.0059931506849315065
17,Trade,61-70,0.0017123287671232876
17,Trade,71-80,0.0025684931506849314
17,Trade,81-90,0.003424657534246575
17,Trade,91-100,0.0017123287671232876
17,Trade,>100,0.0017123287671232876
18,Trade,0,0.08631211857018309
18,Trade,1-10,0.6896251089799477
18,Trade,11-20,0.13513513513513514
18,Trade,21-30,0.043591979075850044
18,Trade,31-40,0.022667829119442023
18,Trade,41-50,0.006102877070619006
18,Trade,51-60,0.0052310374891020054
18,Trade,61-70,0.004359197907585004
18,Trade,71-80,0.0017436791630340018
18,Trade,81-90,0.0034873583260680036
18,Trade,91-100,0.0
18,Trade,>100,0.0017436791630340018
19,Trade,0,0.09190172884440401
19,Trade,1-10,0.6897179253867152
19,Trade,11-20,0.13102820746132848
19,Trade,21-30,0.042766151046405826
19,Trade,31-40,0.02183803457688808
19,Trade,41-50,0.006369426751592357
19,Trade,51-60,0.004549590536851683
19,Trade,61-70,0.0018198362147406734
19,Trade,71-80,0.003639672429481347
19,Trade,81-90,0.0018198362147406734
19,Trade,91-100,0.0018198362147406734
19,Trade,>100,0.00272975432211101
20,Trade,0,0.10526315789473684
20,Trade,1-10,0.6794258373205742
20,Trade,11-20,0.11961722488038277
20,Trade,21-30,0.045933014354066985
20,Trade,31-40,0.020095693779904306
20,Trade,41-50,0.010526315789473684
20,Trade,51-60,0.0066985645933014355
20,Trade,61-70,0.0019138755980861245
20,Trade,71-80,0.003827751196172249
20,Trade,81-90,0.0028708133971291866
20,Trade,91-100,0.0009569377990430622
20,Trade,>100,0.0028708133971291866
21,Trade,0,0.1
21,Trade,1-10,0.6643564356435644
21,Trade,11-20,0.13267326732673268
21,Trade,21-30,0.04356435643564356
21,Trade,31-40,0.028712871287128714
21,Trade,41-50,0.011881188118811881
21,Trade,51-60,0.005940594059405941
21,Trade,61-70,0.005940594059405941
21,Trade,71-80,0.0029702970297029703
21,Trade,81-90,0.0019801980198019802
21,Trade,91-100,0.0
21,Trade,>100,0.0019801980198019802
22,Trade,0,0.08708414872798434
22,Trade,1-10,0.6682974559686888
22,Trade,11-20,0.14090019569471623
22,Trade,21-30,0.04794520547945205
22,Trade,31-40,0.02054794520547945
22,Trade,41-50,0.011741682974559686
22,Trade,51-60,0.008806262230919765
22,Trade,61-70,0.005870841487279843
22,Trade,71-80,0.0029354207436399216
22,Trade,81-90,0.0029354207436399216
22,Trade,91-100,0.0009784735812133072
22,Trade,>100,0.0019569471624266144
23,Trade,0,0.087857847976308
23,Trade,1-10,0.6890424481737414
23,Trade,11-20,0.1263573543928924
23,Trade,21-30,0.049358341559723594
23,Trade,31-40,0.02073050345508391
23,Trade,41-50,0.011846001974333662
23,Trade,51-60,0.004935834155972359
23,Trade,61-70,0.003948667324777887
23,Trade,71-80,0.0019743336623889436
23,Trade,81-90,0.0019743336623889436
23,Trade,91-100,0.0009871668311944718
23,Trade,>100,0.0009871668311944718
24,Trade,0,0.09026369168356999
24,Trade,1-10,0.6805273833671399
24,Trade,11-20,0.12677484787018256
24,Trade,21-30,0.038539553752535496
24,Trade,31-40,0.02129817444219067
24,Trade,41-50,0.018255578093306288
24,Trade,51-60,0.007099391480730223
24,Trade,61-70,0.005070993914807302
24,Trade,71-80,0.004056795131845842
24,Trade,81-90,0.002028397565922921
24,Trade,91-100,0.002028397565922921
24,Trade,>100,0.004056795131845842
25,Trade,0,0.10483870967741936
25,Trade,1-10,0.6784274193548387
25,Trade,11-20,0.12903225806451613
25,Trade,21-30,0.03931451612903226
25,Trade,31-40,0.017137096774193547
25,Trade,41-50,0.011088709677419355
25,Trade,51-60,0.009072580645161291
25,Trade,61-70,0.0020161290322580645
25,Trade,71-80,0.004032258064516129
25,Trade,81-90,0.0
25,Trade,91-100,0.0010080645161290322
25,Trade,>100,0.004032258064516129
26,Trade,0,0.10269709543568464
26,Trade,1-10,0.6773858921161826
26,Trade,11-20,0.11307053941908714
26,Trade,21-30,0.04564315352697095
26,Trade,31-40,0.026970954356846474
26,Trade,41-50,0.012448132780082987
26,Trade,51-60,0.005186721991701245
26,Trade,61-70,0.004149377593360996
26,Trade,71-80,0.004149377593360996
26,Trade,81-90,0.001037344398340249
26,Trade,91-100,0.002074688796680498
26,Trade,>100,0.005186721991701245
27,Trade,0,0.1008991008991009
27,Trade,1-10,0.6603396603396603
27,Trade,11-20,0.11988011988011989
27,Trade,21-30,0.04995004995004995
27,Trade,31-40,0.03396603396603397
27,Trade,41-50,0.012987012987012988
27,Trade,51-60,0.005994005994005994
27,Trade,61-70,0.006993006993006993
27,Trade,71-80,0.003996003996003996
27,Trade,81-90,0.0
27,Trade,91-100,0.000999000999000999
27,Trade,>100,0.003996003996003996
28,Trade,0,0.09046214355948869
28,Trade,1-10,0.672566371681416
28,Trade,11-20,0.13176007866273354
28,Trade,21-30,0.051130776794493606
28,Trade,31-40,0.02359882005899705
28,Trade,41-50,0.010816125860373648
28,Trade,51-60,0.003933136676499509
28,Trade,61-70,0.007866273352999017
28,Trade,71-80,0.0009832841691248771
28,Trade,81-90,0.0019665683382497543
28,Trade,91-100,0.0009832841691248771
28,Trade,>100,0.003933136676499509
29,Trade,0,0.0958627648839556
29,Trade,1-10,0.6518668012108981
29,Trade,11-20,0.14228052472250252
29,Trade,21-30,0.050454086781029264
29,Trade,31-40,0.025227043390514632
29,Trade,41-50,0.015136226034308779
29,Trade,51-60,0.006054490413723511
29,Trade,61-70,0.006054490413723511
29,Trade,71-80,0.0020181634712411706
29,Trade,81-90,0.0030272452068617556
29,Trade,91-100,0.0
29,Trade,>100,0.0020181634712411706
30,Trade,0,0.08996897621509824
30,Trade,1-10,0.6732161323681489
30,Trade,11-20,0.11685625646328852
30,Trade,21-30,0.06308169596690796
30,Trade,31-40,0.023784901758014478
30,Trade,41-50,0.010341261633919338
30,Trade,51-60,0.008273009307135471
30,Trade,61-70,0.005170630816959669
30,Trade,71-80,0.004136504653567736
30,Trade,81-90,0.002068252326783868
30,Trade,91-100,0.001034126163391934
30,Trade,>100,0.002068252326783868
1,Message,0,0.40499235863474276
1,Message,1-10,0.46459500764136524
1,Message,11-20,0.05909322465613857
1,Message,21-30,0.023433520122261846
1,Message,31-40,0.007131940906775344
1,Message,41-50,0.004584819154355578
1,Message,51-60,0.003565970453387672
1,Message,61-70,0.0056036678553234845
1,Message,71-80,0.0015282730514518594
1,Message,81-90,0.005094243504839531
1,Message,91-100,0.0010188487009679063
1,Message,>100,0.01935812531839022
2,Message,0,0.45571428571428574
2,Message,1-10,0.430952380952381
2,Message,11-20,0.051904761904761905
2,Message,21-30,0.018095238095238095
2,Message,31-40,0.004285714285714286
2,Message,41-50,0.007142857142857143
2,Message,51-60,0.0038095238095238095
2,Message,61-70,0.006666666666666667
2,Message,71-80,0.002857142857142857
2,Message,81-90,0.002380952380952381
2,Message,91-100,0.0009523809523809524
2,Message,>100,0.015238095238095238
